id_cliente,genero,idade,renda_anual,score_(1-100)
1,Masculino,19,15,39
2,Masculino,21,15,81
3,Feminino,20,16,6
4,Feminino,23,16,77
5,Feminino,31,17,40
6,Feminino,22,17,76
7,Feminino,35,18,6
8,Feminino,23,18,94
9,Masculino,64,19,3
10,Feminino,30,19,72
11,Masculino,67,19,14
12,Feminino,35,19,99
13,Feminino,58,20,15
14,Feminino,24,20,77
15,Masculino,37,20,13
16,Masculino,22,20,79
17,Feminino,35,21,35
18,Masculino,20,21,66
19,Masculino,52,23,29
20,Feminino,35,23,98
21,Masculino,35,24,35
22,Masculino,25,24,73
23,Feminino,46,25,5
24,Masculino,31,25,73
25,Feminino,54,28,14
26,Masculino,29,28,82
27,Feminino,45,28,32
28,Masculino,35,28,61
29,Feminino,40,29,31
30,Feminino,23,29,87
31,Masculino,60,30,4
32,Feminino,21,30,73
33,Masculino,53,33,4
34,Masculino,18,33,92
35,Feminino,49,33,14
36,Feminino,21,33,81
37,Feminino,42,34,17
38,Feminino,30,34,73
39,Feminino,36,37,26
40,Feminino,20,37,75
41,Feminino,65,38,35
42,Masculino,24,38,92
43,Masculino,48,39,36
44,Feminino,31,39,61
45,Feminino,49,39,28
46,Feminino,24,39,65
47,Feminino,50,40,55
48,Feminino,27,40,47
49,Feminino,29,40,42
50,Feminino,31,40,42
51,Feminino,49,42,52
52,Masculino,33,42,60
53,Feminino,31,43,54
54,Masculino,59,43,60
55,Feminino,50,43,45
56,Masculino,47,43,41
57,Feminino,51,44,50
58,Masculino,69,44,46
59,Feminino,27,46,51
60,Masculino,53,46,46
61,Masculino,70,46,56
62,Masculino,19,46,55
63,Feminino,67,47,52
64,Feminino,54,47,59
65,Masculino,63,48,51
66,Masculino,18,48,59
67,Feminino,43,48,50
68,Feminino,68,48,48
69,Masculino,19,48,59
70,Feminino,32,48,47
71,Masculino,70,49,55
72,Feminino,47,49,42
73,Feminino,60,50,49
74,Feminino,60,50,56
75,Masculino,59,54,47
76,Masculino,26,54,54
77,Feminino,45,54,53
78,Masculino,40,54,48
79,Feminino,23,54,52
80,Feminino,49,54,42
81,Masculino,57,54,51
82,Masculino,38,54,55
83,Masculino,67,54,41
84,Feminino,46,54,44
85,Feminino,21,54,57
86,Masculino,48,54,46
87,Feminino,55,57,58
88,Feminino,22,57,55
89,Feminino,34,58,60
90,Feminino,50,58,46
91,Feminino,68,59,55
92,Masculino,18,59,41
93,Masculino,48,60,49
94,Feminino,40,60,40
95,Feminino,32,60,42
96,Masculino,24,60,52
97,Feminino,47,60,47
98,Feminino,27,60,50
99,Masculino,48,61,42
100,Masculino,20,61,49
101,Feminino,23,62,41
102,Feminino,49,62,48
103,Masculino,67,62,59
104,Masculino,26,62,55
105,Masculino,49,62,56
106,Feminino,21,62,42
107,Feminino,66,63,50
108,Masculino,54,63,46
109,Masculino,68,63,43
110,Masculino,66,63,48
111,Masculino,65,63,52
112,Feminino,19,63,54
113,Feminino,38,64,42
114,Masculino,19,64,46
115,Feminino,18,65,48
116,Feminino,19,65,50
117,Feminino,63,65,43
118,Feminino,49,65,59
119,Feminino,51,67,43
120,Feminino,50,67,57
121,Masculino,27,67,56
122,Feminino,38,67,40
123,Feminino,40,69,58
124,Masculino,39,69,91
125,Feminino,23,70,29
126,Feminino,31,70,77
127,Masculino,43,71,35
128,Masculino,40,71,95
129,Masculino,59,71,11
130,Masculino,38,71,75
131,Masculino,47,71,9
132,Masculino,39,71,75
133,Feminino,25,72,34
134,Feminino,31,72,71
135,Masculino,20,73,5
136,Feminino,29,73,88
137,Feminino,44,73,7
138,Masculino,32,73,73
139,Masculino,19,74,10
140,Feminino,35,74,72
141,Feminino,57,75,5
142,Masculino,32,75,93
143,Feminino,28,76,40
144,Feminino,32,76,87
145,Masculino,25,77,12
146,Masculino,28,77,97
147,Masculino,48,77,36
148,Feminino,32,77,74
149,Feminino,34,78,22
150,Masculino,34,78,90
151,Masculino,43,78,17
152,Masculino,39,78,88
153,Feminino,44,78,20
154,Feminino,38,78,76
155,Feminino,47,78,16
156,Feminino,27,78,89
157,Masculino,37,78,1
158,Feminino,30,78,78
159,Masculino,34,78,1
160,Feminino,30,78,73
161,Feminino,56,79,35
162,Feminino,29,79,83
163,Masculino,19,81,5
164,Feminino,31,81,93
165,Masculino,50,85,26
166,Feminino,36,85,75
167,Masculino,42,86,20
168,Feminino,33,86,95
169,Feminino,36,87,27
170,Masculino,32,87,63
171,Masculino,40,87,13
172,Masculino,28,87,75
173,Masculino,36,87,10
174,Masculino,36,87,92
175,Feminino,52,88,13
176,Feminino,30,88,86
177,Masculino,58,88,15
178,Masculino,27,88,69
179,Masculino,59,93,14
180,Masculino,35,93,90
181,Feminino,37,97,32
182,Feminino,32,97,86
183,Masculino,46,98,15
184,Feminino,29,98,88
185,Feminino,41,99,39
186,Masculino,30,99,97
187,Feminino,54,101,24
188,Masculino,28,101,68
189,Feminino,41,103,17
190,Feminino,36,103,85
191,Feminino,34,103,23
192,Feminino,32,103,69
193,Masculino,33,113,8
194,Feminino,38,113,91
195,Feminino,47,120,16
196,Feminino,35,120,79
197,Feminino,45,126,28
198,Masculino,32,126,74
199,Masculino,32,137,18
200,Masculino,30,137,83
